code,title,description
390120,EXT_AUTHN_DENIED,Duo Security authentication is denied.
390121,EXT_AUTHN_PENDING,Duo Security authentication is pending.
390122,EXT_AUTHN_NOT_ENROLLED,User is not enrolled in Duo Security. Contact your local system administrator.
390123,EXT_AUTHN_LOCKED,User is locked from Duo Security. Contact your local system administrator.
390124,EXT_AUTHN_REQUESTED,Duo Security authentication is required.
390125,EXT_AUTHN_SMS_SENT,Duo Security temporary passcode is sent via SMS. Please authenticate using the passcode.
390126,EXT_AUTHN_TIMEOUT,Timed out waiting for your login request approval via Duo Mobile. If your mobile device has no data service, generate a Duo passcode and enter it in the connect string.
390127,EXT_AUTHN_INVALID,Incorrect passcode was specified.
390128,EXT_AUTHN_SUCCEEDED,Duo Security authentication is successful.
390129,EXT_AUTHN_EXCEPTION,Request could not be completed due to a communication problem with the external service provider. Try again later.
390132,EXT_AUTHN_DUO_PUSH_DISABLED,Duo Push is not enabled for your MFA. Provide a passcode as part of the connection string.
390136,FED_REAUTH_PENDING,Authentication response is pending from IDP.
390137,FED_REAUTH,Federated authentication request URL is generated.
390138,FED_REAUTH_TIMEOUT,Timeout waiting for authentication response from IDP.
390139,AUTHENTICATOR_NOT_SUPPORTED,The specified authenticator is not accepted by your Snowflake account configuration. Please contact your local system administrator to get the correct URL to use.
390140,FED_PASSWORD_EXPIRED,Identity Provider (IdP) password has expired. Contact your IdP team.
390191,USERNAMES_MISMATCH,The user you were trying to authenticate as differs from the user currently logged in at the IDP.
390301,SUCCESS,Succesful login
002003,unknown,unknown
003723,ACCOUNT_ALREADY_EXISTS_003723,ACCOUNT_ALREADY_EXISTS_003723
-20000,ACCOUNT_BUDGET_NOT_ACTIVATE_ERROR_20000,ACCOUNT_BUDGET_NOT_ACTIVATE_ERROR_20000
002141,ACCOUNT_BUDGET_SNOWFLAKE_DB_NOT_SETUP_ERROR_002141,ACCOUNT_BUDGET_SNOWFLAKE_DB_NOT_SETUP_ERROR_002141
003516,ACCOUNT_CANNOT_BE_ADDED_003516,ACCOUNT_CANNOT_BE_ADDED_003516
002002,ALREADY_EXISTS_002002,ALREADY_EXISTS_002002
003030,BROKEN_SHARE_003030,BROKEN_SHARE_003030
090824,CANNOT_AUTO_FULFILL_APP_PACKAGE_090824,CANNOT_AUTO_FULFILL_APP_PACKAGE_090824
090685,CANNOT_AUTO_FULFILL_LISTING_090685,CANNOT_AUTO_FULFILL_LISTING_090685
090684,CANNOT_DROP_LISTING_AUTOFULFILLMENT_ENABLED_090684,CANNOT_DROP_LISTING_AUTOFULFILLMENT_ENABLED_090684
